species
Penduline Tit
Bearded Tit
Woodlark
White-winged Lark
Skylark
Crested Lark
Shore Lark
Short-toed Lark
Bimaculated Lark
Calandra Lark
Black Lark
Mediterranean Short-toed Lark
Sand Martin
Tree Swallow
Purple Martin
Crag Martin
Swallow
House Martin
Red-rumped Swallow
American Cliff Swallow
Cetti's Warbler
Long-tailed Tit
Wood Warbler
Western Bonelli's Warbler
Eastern Bonelli's Warbler
Hume's Warbler
Yellow-browed Warbler
Pallas's Warbler
Radde's Warbler
Dusky Warbler
Willow Warbler
Chiffchaff
Iberian Chiffchaff
Eastern Crowned Warbler
Green Warbler
Two-barred Greenish Warbler
Greenish Warbler
Pale-legged Leaf Warbler
Arctic Warbler
Great Reed Warbler
Aquatic Warbler
Sedge Warbler
Paddyfield Warbler
Blyth's Reed Warbler
Reed Warbler
Marsh Warbler
Thick-billed Warbler
Booted Warbler
Sykes's Warbler
Eastern Olivaceous Warbler
Olive-tree Warbler
Melodious Warbler
Icterine Warbler
Pallas's Grasshopper Warbler
Lanceolated Warbler
River Warbler
Savi's Warbler
Grasshopper Warbler
Fan-tailed Warbler
Blackcap
Garden Warbler
Barred Warbler
Lesser Whitethroat
Western Orphean Warbler
Eastern Orphean Warbler
Asian Desert Warbler
Rüppell's Warbler
Sardinian Warbler
Western Subalpine Warbler
Moltoni's Subalpine Warbler
Eastern Subalpine Warbler
Whitethroat
Spectacled Warbler
Marmora's Warbler
Dartford Warbler
Ruby-crowned Kinglet
Firecrest
Goldcrest
Wren
Red-breasted Nuthatch
Nuthatch
Wallcreeper
Treecreeper
Short-toed Treecreeper
Grey Catbird
Northern Mockingbird
Brown Thrasher
Rose-coloured Starling
Starling
Varied Thrush
Wood Thrush
Swainson's Thrush
Hermit Thrush
Grey-cheeked Thrush
Veery
White's Thrush
Siberian Thrush
Song Thrush
Mistle Thrush
Redwing
Blackbird
Eyebrowed Thrush
Fieldfare
Ring Ouzel
Black-throated Thrush
Red-throated Thrush
Dusky Thrush
Naumann's Thrush
American Robin
Rufous-tailed Scrub Robin
Spotted Flycatcher
Asian Brown Flycatcher
Robin
Siberian Blue Robin
Rufous-tailed Robin
Bluethroat
Thrush Nightingale
Nightingale
White-throated Robin
Siberian Rubythroat
Red-flanked Bluetail
Taiga Flycatcher
Red-breasted Flycatcher
Pied Flycatcher
Collared Flycatcher
Black Redstart
Redstart
Moussier's Redstart
Rock Thrush
Blue Rock Thrush
Whinchat
Stonechat
Siberian Stonechat
Stejneger's Stonechat
Wheatear
Isabelline Wheatear
Desert Wheatear
Western Black-eared Wheatear
Eastern Black-eared Wheatear
Pied Wheatear
White-crowned Black Wheatear
Dipper
Rock Sparrow
Tree Sparrow
Spanish Sparrow
House Sparrow
Alpine Accentor
Siberian Accentor
Dunnock
Yellow Wagtail
Eastern Yellow Wagtail
Citrine Wagtail
Grey Wagtail
Pied Wagtail
Richard's Pipit
Blyth's Pipit
Tawny Pipit
Meadow Pipit
Tree Pipit
Olive-backed Pipit
Pechora Pipit
Red-throated Pipit
Buff-bellied Pipit
Water Pipit
Rock Pipit
Chaffinch
Brambling
Evening Grosbeak
Hawfinch
Pine Grosbeak
Bullfinch
Trumpeter Finch
Common Rosefinch
Greenfinch
Twite
Linnet
Common Redpoll
Lesser Redpoll
Arctic Redpoll
Parrot Crossbill
Scottish Crossbill
Crossbill
Two-barred Crossbill
Goldfinch
Citril Finch
Serin
Siskin
Lapland Bunting
Snow Bunting
Corn Bunting
Yellowhammer
Pine Bunting
Rock Bunting
Ortolan Bunting
Cretzschmar's Bunting
Cirl Bunting
Chestnut-eared Bunting
Little Bunting
Yellow-browed Bunting
Rustic Bunting
Yellow-breasted Bunting
Chestnut Bunting
Black-headed Bunting
Black-faced Bunting
Pallas's Reed Bunting
Reed Bunting
Lark Sparrow
Dark-eyed Junco
White-crowned Sparrow
White-throated Sparrow
Savannah Sparrow
Song Sparrow
Eastern Towhee
Bobolink
Baltimore Oriole
Red-winged Blackbird
Brown-headed Cowbird
Ovenbird
Northern Waterthrush
Golden-winged Warbler
Black-and-white Warbler
Tennessee Warbler
Common Yellowthroat
Hooded Warbler
American Redstart
Cape May Warbler
Northern Parula
Magnolia Warbler
Bay-breasted Warbler
Blackburnian Warbler
Yellow Warbler
Chestnut-sided Warbler
Blackpoll Warbler
Yellow-rumped Warbler
Wilson's Warbler
Summer Tanager
Scarlet Tanager
Rose-breasted Grosbeak
Indigo Bunting
